2024-03-24 00:56:45.390 | INFO     | agentscope.models:read_model_configs:138 - Load configs for model wrapper: qwen1.5-72b-chat
2024-03-24 00:56:45.401 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-03-24 00:56:45.401 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-03-24 00:56:45.401 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs\run_20240324-005644_u25psz\agentscope.db]
2024-03-24 00:56:45.408 | WARNING  | agentscope.models:_get_model_wrapper:57 - Unsupported model_type [dashscope_chat],use PostApiModelWrapper instead.
2024-03-24 00:56:45.408 | ERROR    | agentscope.utils.logging_utils:write:34 - 
2024-03-24 00:56:45.409 | ERROR    | agentscope.utils.logging_utils:write:34 - Traceback (most recent call last):

2024-03-24 00:56:45.409 | ERROR    | agentscope.utils.logging_utils:write:34 - 
2024-03-24 00:56:45.409 | ERROR    | agentscope.utils.logging_utils:write:34 -   File "F:\project\chaos_agent\app_gradio.py", line 76, in <module>

2024-03-24 00:56:45.410 | ERROR    | agentscope.utils.logging_utils:write:34 - 
2024-03-24 00:56:45.410 | ERROR    | agentscope.utils.logging_utils:write:34 -     
2024-03-24 00:56:45.410 | ERROR    | agentscope.utils.logging_utils:write:34 - commander_agent = DialogAgent(
2024-03-24 00:56:45.410 | ERROR    | agentscope.utils.logging_utils:write:34 - 

2024-03-24 00:56:45.410 | ERROR    | agentscope.utils.logging_utils:write:34 - 
2024-03-24 00:56:45.411 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.411 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.411 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.411 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.412 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.412 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.412 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.412 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.413 | ERROR    | agentscope.utils.logging_utils:write:34 -  
2024-03-24 00:56:45.414 | ERROR    | agentscope.utils.logging_utils:write:34 -  
